wffftgt_20220518_194651_0000_corr.fit0  magnitude is: -0.6375
wffftgt_20220518_194651_0000_corr.fit1  magnitude is: -0.6875
wffftgt_20220518_194651_0000_corr.fit2  magnitude is: -0.9875
wffftgt_20220518_194651_0000_corr.fit3  magnitude is: -1.1125
wffftgt_20220518_194651_0000_corr.fit4  magnitude is: -0.575
wffftgt_20220518_194651_0008_corr.fit0  magnitude is: -0.9375
wffftgt_20220518_194651_0008_corr.fit1  magnitude is: -0.9
wffftgt_20220518_194651_0008_corr.fit2  magnitude is: -0.9625
wffftgt_20220518_194651_0008_corr.fit3  magnitude is: -0.8875
wffftgt_20220518_194651_0008_corr.fit4  magnitude is: -0.6625
wffftgt_20220518_194651_0012_corr.fit0  magnitude is: -0.725
wffftgt_20220518_194651_0012_corr.fit1  magnitude is: -0.6874999999999998
wffftgt_20220518_194651_0012_corr.fit2  magnitude is: -0.7375
wffftgt_20220518_194651_0012_corr.fit3  magnitude is: -0.85
wffftgt_20220518_194651_0012_corr.fit4  magnitude is: -0.9
wffftgt_20220518_194651_0016_corr.fit0  magnitude is: -0.9875
wffftgt_20220518_194651_0016_corr.fit1  magnitude is: -0.725
wffftgt_20220518_194651_0016_corr.fit2  magnitude is: -0.5625
wffftgt_20220518_194651_0016_corr.fit3  magnitude is: -0.95
wffftgt_20220518_194651_0016_corr.fit4  magnitude is: -0.8625
wffftgt_20220518_194651_0022_corr.fit0  magnitude is: -1.025
wffftgt_20220518_194651_0022_corr.fit1  magnitude is: -1.125
wffftgt_20220518_194651_0022_corr.fit2  magnitude is: -1.1125
wffftgt_20220518_194651_0022_corr.fit3  magnitude is: -0.925
wffftgt_20220518_194651_0022_corr.fit4  magnitude is: -1.175
wffftgt_20220518_194651_0024_corr.fit0  magnitude is: -0.7875
wffftgt_20220518_194651_0024_corr.fit1  magnitude is: -0.9
wffftgt_20220518_194651_0024_corr.fit2  magnitude is: -1.1375
wffftgt_20220518_194651_0024_corr.fit3  magnitude is: -0.9375
wffftgt_20220518_194651_0024_corr.fit4  magnitude is: -0.8875
wffftgt_20220518_194651_0030_corr.fit0  magnitude is: -0.925
wffftgt_20220518_194651_0030_corr.fit1  magnitude is: -0.9875
wffftgt_20220518_194651_0030_corr.fit2  magnitude is: -1.275
wffftgt_20220518_194651_0030_corr.fit3  magnitude is: -1.15
wffftgt_20220518_194651_0030_corr.fit4  magnitude is: -1.0125
wffftgt_20220518_194651_0032_corr.fit0  magnitude is: -0.9375
wffftgt_20220518_194651_0032_corr.fit1  magnitude is: -0.9
wffftgt_20220518_194651_0032_corr.fit2  magnitude is: -0.7125
wffftgt_20220518_194651_0032_corr.fit3  magnitude is: -0.7875
wffftgt_20220518_194651_0032_corr.fit4  magnitude is: -0.8
wffftgt_20220518_194651_0034_corr.fit0  magnitude is: -1.225
wffftgt_20220518_194651_0034_corr.fit1  magnitude is: -1.0625
wffftgt_20220518_194651_0034_corr.fit2  magnitude is: -1.0625
wffftgt_20220518_194651_0034_corr.fit3  magnitude is: -1.2125
wffftgt_20220518_194651_0034_corr.fit4  magnitude is: -1.0
wffftgt_20220518_194651_0002_corr.fit0  magnitude is: -1.1875
wffftgt_20220518_194651_0002_corr.fit1  magnitude is: -1.1
wffftgt_20220518_194651_0002_corr.fit2  magnitude is: -0.9375
wffftgt_20220518_194651_0002_corr.fit3  magnitude is: -0.9625
wffftgt_20220518_194651_0002_corr.fit4  magnitude is: -0.9375
wffftgt_20220518_194651_0004_corr.fit0  magnitude is: -0.75
wffftgt_20220518_194651_0004_corr.fit1  magnitude is: -0.8375
wffftgt_20220518_194651_0004_corr.fit2  magnitude is: -0.8625
wffftgt_20220518_194651_0004_corr.fit3  magnitude is: -1.1875
wffftgt_20220518_194651_0004_corr.fit4  magnitude is: -0.75
wffftgt_20220518_194651_0006_corr.fit0  magnitude is: -1.5375
wffftgt_20220518_194651_0006_corr.fit1  magnitude is: -1.1375
wffftgt_20220518_194651_0006_corr.fit2  magnitude is: -1.0125
wffftgt_20220518_194651_0006_corr.fit3  magnitude is: -1.525
wffftgt_20220518_194651_0006_corr.fit4  magnitude is: -0.975
wffftgt_20220518_194651_0010_corr.fit0  magnitude is: -0.8125
wffftgt_20220518_194651_0010_corr.fit1  magnitude is: -0.925
wffftgt_20220518_194651_0010_corr.fit2  magnitude is: -1.2125
wffftgt_20220518_194651_0010_corr.fit3  magnitude is: -1.25
wffftgt_20220518_194651_0010_corr.fit4  magnitude is: -1.0375
wffftgt_20220518_194651_0014_corr.fit0  magnitude is: -0.9625
wffftgt_20220518_194651_0014_corr.fit1  magnitude is: -1.05
wffftgt_20220518_194651_0014_corr.fit2  magnitude is: -1.225
wffftgt_20220518_194651_0014_corr.fit3  magnitude is: -1.1
wffftgt_20220518_194651_0014_corr.fit4  magnitude is: -1.25
wffftgt_20220518_194651_0018_corr.fit0  magnitude is: -1.0625
wffftgt_20220518_194651_0018_corr.fit1  magnitude is: -1.1375
wffftgt_20220518_194651_0018_corr.fit2  magnitude is: -0.8375
wffftgt_20220518_194651_0018_corr.fit3  magnitude is: -1.275
wffftgt_20220518_194651_0018_corr.fit4  magnitude is: -1.2
wffftgt_20220518_194651_0020_corr.fit0  magnitude is: -0.8375
wffftgt_20220518_194651_0020_corr.fit1  magnitude is: -0.875
wffftgt_20220518_194651_0020_corr.fit2  magnitude is: -1.0375
wffftgt_20220518_194651_0020_corr.fit3  magnitude is: -1.0375
wffftgt_20220518_194651_0020_corr.fit4  magnitude is: -0.7625
wffftgt_20220518_194651_0026_corr.fit0  magnitude is: -1.0
wffftgt_20220518_194651_0026_corr.fit1  magnitude is: -0.9625
wffftgt_20220518_194651_0026_corr.fit2  magnitude is: -0.9875
wffftgt_20220518_194651_0026_corr.fit3  magnitude is: -1.025
wffftgt_20220518_194651_0026_corr.fit4  magnitude is: -0.8625
wffftgt_20220518_194651_0028_corr.fit0  magnitude is: -0.7875
wffftgt_20220518_194651_0028_corr.fit1  magnitude is: -1.025
wffftgt_20220518_194651_0028_corr.fit2  magnitude is: -0.9125
wffftgt_20220518_194651_0028_corr.fit3  magnitude is: -1.15
wffftgt_20220518_194651_0028_corr.fit4  magnitude is: -0.825
