wffftgt_20220520_031816_0016_corr.fit0  magnitude is: -6.3
wffftgt_20220520_031816_0016_corr.fit1  magnitude is: -6.4
wffftgt_20220520_031816_0016_corr.fit2  magnitude is: -6.6
wffftgt_20220520_031816_0016_corr.fit3  magnitude is: -6.85
wffftgt_20220520_031816_0016_corr.fit4  magnitude is: -6.35
wffftgt_20220520_031816_0014_corr.fit0  magnitude is: -1.8
wffftgt_20220520_031816_0014_corr.fit1  magnitude is: -1.95
wffftgt_20220520_031816_0014_corr.fit2  magnitude is: -1.9
wffftgt_20220520_031816_0014_corr.fit3  magnitude is: -1.75
wffftgt_20220520_031816_0014_corr.fit4  magnitude is: -2.0
wffftgt_20220520_031816_0004_corr.fit0  magnitude is: -15.3
wffftgt_20220520_031816_0004_corr.fit1  magnitude is: -12.4
wffftgt_20220520_031816_0004_corr.fit2  magnitude is: -12.95
wffftgt_20220520_031816_0004_corr.fit3  magnitude is: -14.0
wffftgt_20220520_031816_0004_corr.fit4  magnitude is: -11.95
wffftgt_20220520_031816_0008_corr.fit0  magnitude is: -1.85
wffftgt_20220520_031816_0008_corr.fit1  magnitude is: -1.35
wffftgt_20220520_031816_0008_corr.fit2  magnitude is: -1.75
wffftgt_20220520_031816_0008_corr.fit3  magnitude is: -1.8
wffftgt_20220520_031816_0008_corr.fit4  magnitude is: -1.75
wffftgt_20220520_031816_0002_corr.fit0  magnitude is: -1.9
wffftgt_20220520_031816_0002_corr.fit1  magnitude is: -1.65
wffftgt_20220520_031816_0002_corr.fit2  magnitude is: -2.25
wffftgt_20220520_031816_0002_corr.fit3  magnitude is: -2.5
wffftgt_20220520_031816_0002_corr.fit4  magnitude is: -1.35
wffftgt_20220520_031816_0006_corr.fit0  magnitude is: -1.45
wffftgt_20220520_031816_0006_corr.fit1  magnitude is: -7.95
wffftgt_20220520_031816_0006_corr.fit2  magnitude is: -11.0
wffftgt_20220520_031816_0006_corr.fit3  magnitude is: -12.25
wffftgt_20220520_031816_0006_corr.fit4  magnitude is: -12.2
wffftgt_20220520_031816_0010_corr.fit0  magnitude is: -12.4
wffftgt_20220520_031816_0010_corr.fit1  magnitude is: -10.15
wffftgt_20220520_031816_0010_corr.fit2  magnitude is: -11.5
wffftgt_20220520_031816_0010_corr.fit3  magnitude is: -11.45
wffftgt_20220520_031816_0010_corr.fit4  magnitude is: -10.8
wffftgt_20220520_031816_0012_corr.fit0  magnitude is: -5.4
wffftgt_20220520_031816_0012_corr.fit1  magnitude is: -4.85
wffftgt_20220520_031816_0012_corr.fit2  magnitude is: -6.4
wffftgt_20220520_031816_0012_corr.fit3  magnitude is: -7.2
wffftgt_20220520_031816_0012_corr.fit4  magnitude is: -7.35
wffftgt_20220520_031816_0000_corr.fit0  magnitude is: -2.15
wffftgt_20220520_031816_0000_corr.fit1  magnitude is: -5.9
wffftgt_20220520_031816_0000_corr.fit2  magnitude is: -11.4
wffftgt_20220520_031816_0000_corr.fit3  magnitude is: -12.7
wffftgt_20220520_031816_0000_corr.fit4  magnitude is: -12.85
