wffftgt_20220520_031816_0016_corr.fit0  magnitude is: -1.9
wffftgt_20220520_031816_0016_corr.fit1  magnitude is: -0.55
wffftgt_20220520_031816_0016_corr.fit2  magnitude is: -0.85
wffftgt_20220520_031816_0016_corr.fit3  magnitude is: -0.95
wffftgt_20220520_031816_0016_corr.fit4  magnitude is: -0.95
wffftgt_20220520_031816_0014_corr.fit0  magnitude is: -1.55
wffftgt_20220520_031816_0014_corr.fit1  magnitude is: -0.95
wffftgt_20220520_031816_0014_corr.fit2  magnitude is: -0.7
wffftgt_20220520_031816_0014_corr.fit3  magnitude is: -0.75
wffftgt_20220520_031816_0014_corr.fit4  magnitude is: -0.85
wffftgt_20220520_031816_0004_corr.fit0  magnitude is: -1.85
wffftgt_20220520_031816_0004_corr.fit1  magnitude is: -0.6
wffftgt_20220520_031816_0004_corr.fit2  magnitude is: -0.75
wffftgt_20220520_031816_0004_corr.fit3  magnitude is: -0.85
wffftgt_20220520_031816_0004_corr.fit4  magnitude is: -1.0
wffftgt_20220520_031816_0008_corr.fit0  magnitude is: -0.8
wffftgt_20220520_031816_0008_corr.fit1  magnitude is: -0.5
wffftgt_20220520_031816_0008_corr.fit2  magnitude is: -0.9
wffftgt_20220520_031816_0008_corr.fit3  magnitude is: -0.8
wffftgt_20220520_031816_0008_corr.fit4  magnitude is: -0.85
wffftgt_20220520_031816_0002_corr.fit0  magnitude is: -1.25
wffftgt_20220520_031816_0002_corr.fit1  magnitude is: -0.7
wffftgt_20220520_031816_0002_corr.fit2  magnitude is: -0.7
wffftgt_20220520_031816_0002_corr.fit3  magnitude is: -0.75
wffftgt_20220520_031816_0002_corr.fit4  magnitude is: -0.65
wffftgt_20220520_031816_0006_corr.fit0  magnitude is: -0.9
wffftgt_20220520_031816_0006_corr.fit1  magnitude is: -0.75
wffftgt_20220520_031816_0006_corr.fit2  magnitude is: -0.85
wffftgt_20220520_031816_0006_corr.fit3  magnitude is: -1.2
wffftgt_20220520_031816_0006_corr.fit4  magnitude is: -0.95
wffftgt_20220520_031816_0010_corr.fit0  magnitude is: -0.95
wffftgt_20220520_031816_0010_corr.fit1  magnitude is: -1.0
wffftgt_20220520_031816_0010_corr.fit2  magnitude is: -0.85
wffftgt_20220520_031816_0010_corr.fit3  magnitude is: -0.8
wffftgt_20220520_031816_0010_corr.fit4  magnitude is: -1.05
wffftgt_20220520_031816_0012_corr.fit0  magnitude is: -1.05
wffftgt_20220520_031816_0012_corr.fit1  magnitude is: -0.65
wffftgt_20220520_031816_0012_corr.fit2  magnitude is: -0.75
wffftgt_20220520_031816_0012_corr.fit3  magnitude is: -1.0
wffftgt_20220520_031816_0012_corr.fit4  magnitude is: -1.55
wffftgt_20220520_031816_0000_corr.fit0  magnitude is: -1.0
wffftgt_20220520_031816_0000_corr.fit1  magnitude is: -0.65
wffftgt_20220520_031816_0000_corr.fit2  magnitude is: -0.8
wffftgt_20220520_031816_0000_corr.fit3  magnitude is: -1.4
wffftgt_20220520_031816_0000_corr.fit4  magnitude is: -1.45
