wfffffc_20220526_213622_0004_corr.fit0  magnitude is: -11.55
wfffffc_20220526_213622_0004_corr.fit1  magnitude is: -9.65
wfffffc_20220526_213622_0004_corr.fit2  magnitude is: -18.65
wfffffc_20220526_213622_0004_corr.fit3  magnitude is: -11.4
wfffffc_20220526_213622_0004_corr.fit4  magnitude is: -10.95
wfffffc_20220526_213622_0007_corr.fit0  magnitude is: -10.75
wfffffc_20220526_213622_0007_corr.fit1  magnitude is: -8.8
wfffffc_20220526_213622_0007_corr.fit2  magnitude is: -15.75
wfffffc_20220526_213622_0007_corr.fit3  magnitude is: -8.8
wfffffc_20220526_213622_0007_corr.fit4  magnitude is: -8.9
wfffffc_20220526_213622_0006_corr.fit0  magnitude is: -10.25
wfffffc_20220526_213622_0006_corr.fit1  magnitude is: -8.75
wfffffc_20220526_213622_0006_corr.fit2  magnitude is: -17.15
wfffffc_20220526_213622_0006_corr.fit3  magnitude is: -10.2
wfffffc_20220526_213622_0006_corr.fit4  magnitude is: -9.75
wfffffc_20220526_213622_0002_corr.fit0  magnitude is: -7.3
wfffffc_20220526_213622_0002_corr.fit1  magnitude is: -7.9
wfffffc_20220526_213622_0002_corr.fit2  magnitude is: -15.45
wfffffc_20220526_213622_0002_corr.fit3  magnitude is: -8.15
wfffffc_20220526_213622_0002_corr.fit4  magnitude is: -8.05
wfffffc_20220526_213622_0008_corr.fit0  magnitude is: -8.95
wfffffc_20220526_213622_0008_corr.fit1  magnitude is: -8.3
wfffffc_20220526_213622_0008_corr.fit2  magnitude is: -14.55
wfffffc_20220526_213622_0008_corr.fit3  magnitude is: -8.1
wfffffc_20220526_213622_0008_corr.fit4  magnitude is: -7.7
wfffffc_20220526_213622_0003_corr.fit0  magnitude is: -7.95
wfffffc_20220526_213622_0003_corr.fit1  magnitude is: -10.25
wfffffc_20220526_213622_0003_corr.fit2  magnitude is: -17.2
wfffffc_20220526_213622_0003_corr.fit3  magnitude is: -8.9
wfffffc_20220526_213622_0003_corr.fit4  magnitude is: -8.7
wfffffc_20220526_213622_0005_corr.fit0  magnitude is: -9.75
wfffffc_20220526_213622_0005_corr.fit1  magnitude is: -8.8
wfffffc_20220526_213622_0005_corr.fit2  magnitude is: -19.85
wfffffc_20220526_213622_0005_corr.fit3  magnitude is: -7.95
wfffffc_20220526_213622_0005_corr.fit4  magnitude is: -10.8
wfffffc_20220526_213622_0001_corr.fit0  magnitude is: -730.8
wfffffc_20220526_213622_0001_corr.fit1  magnitude is: -729.75
wfffffc_20220526_213622_0001_corr.fit2  magnitude is: -730.1
wfffffc_20220526_213622_0001_corr.fit3  magnitude is: -732.3
wfffffc_20220526_213622_0001_corr.fit4  magnitude is: -730.55
wfffffc_20220526_213622_0000_corr.fit0  magnitude is: -6.35
wfffffc_20220526_213622_0000_corr.fit1  magnitude is: -8.0
wfffffc_20220526_213622_0000_corr.fit2  magnitude is: -16.4
wfffffc_20220526_213622_0000_corr.fit3  magnitude is: -6.25
wfffffc_20220526_213622_0000_corr.fit4  magnitude is: -6.85
wfffffc_20220526_213622_0009_corr.fit0  magnitude is: -9.25
wfffffc_20220526_213622_0009_corr.fit1  magnitude is: -9.35
wfffffc_20220526_213622_0009_corr.fit2  magnitude is: -17.3
wfffffc_20220526_213622_0009_corr.fit3  magnitude is: -9.0
wfffffc_20220526_213622_0009_corr.fit4  magnitude is: -8.85
