wffftgt_20220520_031816_0016_corr.fit0  magnitude is: -4.6125
wffftgt_20220520_031816_0016_corr.fit1  magnitude is: -3.8375
wffftgt_20220520_031816_0016_corr.fit2  magnitude is: -4.15
wffftgt_20220520_031816_0016_corr.fit3  magnitude is: -4.2375
wffftgt_20220520_031816_0016_corr.fit4  magnitude is: -4.0
wffftgt_20220520_031816_0014_corr.fit0  magnitude is: -1.375
wffftgt_20220520_031816_0014_corr.fit1  magnitude is: -1.0625
wffftgt_20220520_031816_0014_corr.fit2  magnitude is: -1.35
wffftgt_20220520_031816_0014_corr.fit3  magnitude is: -1.275
wffftgt_20220520_031816_0014_corr.fit4  magnitude is: -1.325
wffftgt_20220520_031816_0004_corr.fit0  magnitude is: -13.075
wffftgt_20220520_031816_0004_corr.fit1  magnitude is: -11.0625
wffftgt_20220520_031816_0004_corr.fit2  magnitude is: -11.6125
wffftgt_20220520_031816_0004_corr.fit3  magnitude is: -12.075
wffftgt_20220520_031816_0004_corr.fit4  magnitude is: -10.225
wffftgt_20220520_031816_0008_corr.fit0  magnitude is: -1.0375
wffftgt_20220520_031816_0008_corr.fit1  magnitude is: -0.7
wffftgt_20220520_031816_0008_corr.fit2  magnitude is: -0.975
wffftgt_20220520_031816_0008_corr.fit3  magnitude is: -1.075
wffftgt_20220520_031816_0008_corr.fit4  magnitude is: -1.275
wffftgt_20220520_031816_0002_corr.fit0  magnitude is: -1.0625
wffftgt_20220520_031816_0002_corr.fit1  magnitude is: -1.05
wffftgt_20220520_031816_0002_corr.fit2  magnitude is: -1.3
wffftgt_20220520_031816_0002_corr.fit3  magnitude is: -1.475
wffftgt_20220520_031816_0002_corr.fit4  magnitude is: -1.1125
wffftgt_20220520_031816_0006_corr.fit0  magnitude is: -0.9875
wffftgt_20220520_031816_0006_corr.fit1  magnitude is: -6.0375
wffftgt_20220520_031816_0006_corr.fit2  magnitude is: -9.0375
wffftgt_20220520_031816_0006_corr.fit3  magnitude is: -9.675
wffftgt_20220520_031816_0006_corr.fit4  magnitude is: -10.1
wffftgt_20220520_031816_0010_corr.fit0  magnitude is: -12.0
wffftgt_20220520_031816_0010_corr.fit1  magnitude is: -9.575
wffftgt_20220520_031816_0010_corr.fit2  magnitude is: -11.225
wffftgt_20220520_031816_0010_corr.fit3  magnitude is: -11.2875
wffftgt_20220520_031816_0010_corr.fit4  magnitude is: -10.5
wffftgt_20220520_031816_0012_corr.fit0  magnitude is: -6.0875
wffftgt_20220520_031816_0012_corr.fit1  magnitude is: -3.525
wffftgt_20220520_031816_0012_corr.fit2  magnitude is: -4.0125
wffftgt_20220520_031816_0012_corr.fit3  magnitude is: -4.75
wffftgt_20220520_031816_0012_corr.fit4  magnitude is: -4.625
wffftgt_20220520_031816_0000_corr.fit0  magnitude is: -1.0625
wffftgt_20220520_031816_0000_corr.fit1  magnitude is: -3.4625
wffftgt_20220520_031816_0000_corr.fit2  magnitude is: -9.225
wffftgt_20220520_031816_0000_corr.fit3  magnitude is: -9.9875
wffftgt_20220520_031816_0000_corr.fit4  magnitude is: -10.4375
