wffftgt_20220520_232523_0000_corr.fit0  magnitude is: -29.075
wffftgt_20220520_232523_0000_corr.fit1  magnitude is: -28.75
wffftgt_20220520_232523_0000_corr.fit2  magnitude is: -28.9
wffftgt_20220520_232523_0000_corr.fit3  magnitude is: -29.1
wffftgt_20220520_232523_0000_corr.fit4  magnitude is: -28.9
wffftgt_20220520_232523_0002_corr.fit0  magnitude is: -42.05
wffftgt_20220520_232523_0002_corr.fit1  magnitude is: -41.925
wffftgt_20220520_232523_0002_corr.fit2  magnitude is: -42.0
wffftgt_20220520_232523_0002_corr.fit3  magnitude is: -42.25
wffftgt_20220520_232523_0002_corr.fit4  magnitude is: -41.75
wffftgt_20220520_232523_0004_corr.fit0  magnitude is: -1.45
wffftgt_20220520_232523_0004_corr.fit1  magnitude is: -1.625
wffftgt_20220520_232523_0004_corr.fit2  magnitude is: -1.7
wffftgt_20220520_232523_0004_corr.fit3  magnitude is: -1.675
wffftgt_20220520_232523_0004_corr.fit4  magnitude is: -1.8
wffftgt_20220520_232523_0006_corr.fit0  magnitude is: -1.475
wffftgt_20220520_232523_0006_corr.fit1  magnitude is: -1.5
wffftgt_20220520_232523_0006_corr.fit2  magnitude is: -1.675
wffftgt_20220520_232523_0006_corr.fit3  magnitude is: -1.25
wffftgt_20220520_232523_0006_corr.fit4  magnitude is: -1.425
wffftgt_20220520_232523_0008_corr.fit0  magnitude is: -2.15
wffftgt_20220520_232523_0008_corr.fit1  magnitude is: -1.55
wffftgt_20220520_232523_0008_corr.fit2  magnitude is: -1.875
wffftgt_20220520_232523_0008_corr.fit3  magnitude is: -2.725
wffftgt_20220520_232523_0008_corr.fit4  magnitude is: -2.2
wffftgt_20220520_232523_0010_corr.fit0  magnitude is: -2.5
wffftgt_20220520_232523_0010_corr.fit1  magnitude is: -1.875
wffftgt_20220520_232523_0010_corr.fit2  magnitude is: -1.6
wffftgt_20220520_232523_0010_corr.fit3  magnitude is: -2.775
wffftgt_20220520_232523_0010_corr.fit4  magnitude is: -2.175
wffftgt_20220520_232523_0012_corr.fit0  magnitude is: -1.25
wffftgt_20220520_232523_0012_corr.fit1  magnitude is: -1.775
wffftgt_20220520_232523_0012_corr.fit2  magnitude is: -1.3
wffftgt_20220520_232523_0012_corr.fit3  magnitude is: -1.55
wffftgt_20220520_232523_0012_corr.fit4  magnitude is: -1.375
wffftgt_20220520_232523_0014_corr.fit0  magnitude is: -1.65
wffftgt_20220520_232523_0014_corr.fit1  magnitude is: -1.675
wffftgt_20220520_232523_0014_corr.fit2  magnitude is: -1.4
wffftgt_20220520_232523_0014_corr.fit3  magnitude is: -1.9
wffftgt_20220520_232523_0014_corr.fit4  magnitude is: -1.525
wffftgt_20220520_232523_0016_corr.fit0  magnitude is: -1.35
wffftgt_20220520_232523_0016_corr.fit1  magnitude is: -1.275
wffftgt_20220520_232523_0016_corr.fit2  magnitude is: -1.4
wffftgt_20220520_232523_0016_corr.fit3  magnitude is: -1.9
wffftgt_20220520_232523_0016_corr.fit4  magnitude is: -1.625
wffftgt_20220520_232523_0018_corr.fit0  magnitude is: -2.1
wffftgt_20220520_232523_0018_corr.fit1  magnitude is: -2.3
wffftgt_20220520_232523_0018_corr.fit2  magnitude is: -2.05
wffftgt_20220520_232523_0018_corr.fit3  magnitude is: -2.725
wffftgt_20220520_232523_0018_corr.fit4  magnitude is: -2.175
wffftgt_20220520_232523_0020_corr.fit0  magnitude is: -1.4
wffftgt_20220520_232523_0020_corr.fit1  magnitude is: -1.175
wffftgt_20220520_232523_0020_corr.fit2  magnitude is: -1.575
wffftgt_20220520_232523_0020_corr.fit3  magnitude is: -1.775
wffftgt_20220520_232523_0020_corr.fit4  magnitude is: -1.375
wffftgt_20220520_232523_0022_corr.fit0  magnitude is: -1.475
wffftgt_20220520_232523_0022_corr.fit1  magnitude is: -1.525
wffftgt_20220520_232523_0022_corr.fit2  magnitude is: -1.55
wffftgt_20220520_232523_0022_corr.fit3  magnitude is: -1.675
wffftgt_20220520_232523_0022_corr.fit4  magnitude is: -1.45
wffftgt_20220520_232523_0024_corr.fit0  magnitude is: -1.65
wffftgt_20220520_232523_0024_corr.fit1  magnitude is: -1.375
wffftgt_20220520_232523_0024_corr.fit2  magnitude is: -1.425
wffftgt_20220520_232523_0024_corr.fit3  magnitude is: -1.575
wffftgt_20220520_232523_0024_corr.fit4  magnitude is: -1.225
wffftgt_20220520_232523_0026_corr.fit0  magnitude is: -2.1
wffftgt_20220520_232523_0026_corr.fit1  magnitude is: -1.9
wffftgt_20220520_232523_0026_corr.fit2  magnitude is: -2.175
wffftgt_20220520_232523_0026_corr.fit3  magnitude is: -1.7
wffftgt_20220520_232523_0026_corr.fit4  magnitude is: -1.925
wffftgt_20220520_232523_0028_corr.fit0  magnitude is: -1.45
wffftgt_20220520_232523_0028_corr.fit1  magnitude is: -1.375
wffftgt_20220520_232523_0028_corr.fit2  magnitude is: -1.5
wffftgt_20220520_232523_0028_corr.fit3  magnitude is: -1.375
wffftgt_20220520_232523_0028_corr.fit4  magnitude is: -1.75
wffftgt_20220520_232523_0030_corr.fit0  magnitude is: -2.925
wffftgt_20220520_232523_0030_corr.fit1  magnitude is: -2.75
