wfffffc_20220526_213622_0000_corr.fit0  magnitude is: -89.775
wfffffc_20220526_213622_0000_corr.fit1  magnitude is: -85.6625
wfffffc_20220526_213622_0000_corr.fit2  magnitude is: -77.8125
wfffffc_20220526_213622_0000_corr.fit3  magnitude is: -89.6875
wfffffc_20220526_213622_0000_corr.fit4  magnitude is: -96.2
wfffffc_20220526_213622_0001_corr.fit0  magnitude is: -698.1375
wfffffc_20220526_213622_0001_corr.fit1  magnitude is: -743.7125
wfffffc_20220526_213622_0001_corr.fit2  magnitude is: -779.875
wfffffc_20220526_213622_0001_corr.fit3  magnitude is: -736.8
wfffffc_20220526_213622_0001_corr.fit4  magnitude is: -749.9
wfffffc_20220526_213622_0002_corr.fit0  magnitude is: -94.0
wfffffc_20220526_213622_0002_corr.fit1  magnitude is: -89.5125
wfffffc_20220526_213622_0002_corr.fit2  magnitude is: -107.3
wfffffc_20220526_213622_0002_corr.fit3  magnitude is: -114.7625
wfffffc_20220526_213622_0002_corr.fit4  magnitude is: -103.7375
wfffffc_20220526_213622_0004_corr.fit0  magnitude is: -96.25
wfffffc_20220526_213622_0004_corr.fit1  magnitude is: -90.075
wfffffc_20220526_213622_0004_corr.fit2  magnitude is: -107.75
wfffffc_20220526_213622_0004_corr.fit3  magnitude is: -115.6375
wfffffc_20220526_213622_0004_corr.fit4  magnitude is: -108.15
wfffffc_20220526_213622_0005_corr.fit0  magnitude is: -97.8625
wfffffc_20220526_213622_0005_corr.fit1  magnitude is: -88.7125
wfffffc_20220526_213622_0005_corr.fit2  magnitude is: -107.35
wfffffc_20220526_213622_0005_corr.fit3  magnitude is: -113.3375
wfffffc_20220526_213622_0005_corr.fit4  magnitude is: -107.6
wfffffc_20220526_213622_0006_corr.fit0  magnitude is: -94.3875
wfffffc_20220526_213622_0006_corr.fit1  magnitude is: -91.2625
wfffffc_20220526_213622_0006_corr.fit2  magnitude is: -108.475
wfffffc_20220526_213622_0006_corr.fit3  magnitude is: -114.9875
wfffffc_20220526_213622_0006_corr.fit4  magnitude is: -107.3625
wfffffc_20220526_213622_0007_corr.fit0  magnitude is: -94.0
wfffffc_20220526_213622_0007_corr.fit1  magnitude is: -88.8
wfffffc_20220526_213622_0007_corr.fit2  magnitude is: -108.4625
wfffffc_20220526_213622_0007_corr.fit3  magnitude is: -116.075
wfffffc_20220526_213622_0007_corr.fit4  magnitude is: -107.375
wfffffc_20220526_213622_0008_corr.fit0  magnitude is: -96.2
wfffffc_20220526_213622_0008_corr.fit1  magnitude is: -90.1625
wfffffc_20220526_213622_0008_corr.fit2  magnitude is: -108.4625
wfffffc_20220526_213622_0008_corr.fit3  magnitude is: -119.15
wfffffc_20220526_213622_0008_corr.fit4  magnitude is: -106.2
wfffffc_20220526_213622_0009_corr.fit0  magnitude is: -95.8
wfffffc_20220526_213622_0009_corr.fit1  magnitude is: -88.3125
wfffffc_20220526_213622_0009_corr.fit2  magnitude is: -108.2
wfffffc_20220526_213622_0009_corr.fit3  magnitude is: -115.3875
wfffffc_20220526_213622_0009_corr.fit4  magnitude is: -109.0375
wfffffc_20220526_213622_0003_corr.fit0  magnitude is: -95.0125
wfffffc_20220526_213622_0003_corr.fit1  magnitude is: -89.5625
wfffffc_20220526_213622_0003_corr.fit2  magnitude is: -106.65
wfffffc_20220526_213622_0003_corr.fit3  magnitude is: -115.625
wfffffc_20220526_213622_0003_corr.fit4  magnitude is: -108.3875
